From Win10 22H2.
api-ms-win-core-processtopology-obsolete-l1-1-1 -> kernel32.dll
api-ms-win-core-processtopology-private-l1-1-0 -> kernelbase.dll
api-ms-win-core-profile-l1-1-0 -> kernelbase.dll
api-ms-win-core-psapi-ansi-l1-1-0 -> kernelbase.dll
api-ms-win-core-psapi-l1-1-0 -> kernelbase.dll
api-ms-win-core-psapi-obsolete-l1-1-0 -> kernelbase.dll
api-ms-win-core-psapiansi-l1-1-0 -> kernelbase.dll
api-ms-win-core-psm-app-l1-1-0 -> twinapi.appcore.dll
api-ms-win-core-psm-appnotify-l1-1-0 -> twinapi.appcore.dll
api-ms-win-core-psm-info-l1-1-1 -> appsruprov.dll
api-ms-win-core-psm-key-l1-1-2 -> kernelbase.dll
api-ms-win-core-psm-plm-l1-1-3 -> twinapi.appcore.dll
api-ms-win-core-psm-plm-l1-2-0 -> twinapi.appcore.dll
api-ms-win-core-psm-plm-l1-3-0 -> twinapi.appcore.dll
api-ms-win-core-psm-rtimer-l1-1-1 -> twinapi.appcore.dll
api-ms-win-core-psm-tc-l1-1-1 -> twinapi.appcore.dll
api-ms-win-core-quirks-l1-1-1 -> kernelbase.dll
api-ms-win-core-realtime-l1-1-2 -> kernelbase.dll
api-ms-win-core-registry-fromapp-l1-1-0 -> reguwpapi.dll
api-ms-win-core-registry-l1-1-2 -> kernelbase.dll
api-ms-win-core-registry-l2-1-0 -> advapi32.dll
api-ms-win-core-registry-l2-2-0 -> advapi32.dll
api-ms-win-core-registry-l2-3-0 -> advapi32.dll
api-ms-win-core-registry-private-l1-1-0 -> advapi32.dll
api-ms-win-core-registryuserspecific-l1-1-0 -> kernelbase.dll
api-ms-win-core-rtlsupport-l1-1-1 -> ntdll.dll
api-ms-win-core-rtlsupport-l1-2-0 -> ntdll.dll
api-ms-win-core-shlwapi-legacy-l1-1-0 -> kernelbase.dll
api-ms-win-core-shlwapi-obsolete-l1-1-0 -> kernelbase.dll
api-ms-win-core-shlwapi-obsolete-l1-2-0 -> kernelbase.dll
api-ms-win-core-shutdown-ansi-l1-1-0 -> advapi32.dll
api-ms-win-core-shutdown-l1-1-1 -> advapi32.dll
api-ms-win-core-sidebyside-ansi-l1-1-0 -> kernel32.dll
api-ms-win-core-sidebyside-l1-1-0 -> kernelbase.dll
api-ms-win-core-slapi-l1-1-0 -> clipc.dll
api-ms-win-core-state-helpers-l1-1-0 -> kernelbase.dll
api-ms-win-core-string-l1-1-0 -> kernelbase.dll
api-ms-win-core-string-l2-1-1 -> kernelbase.dll
api-ms-win-core-string-obsolete-l1-1-1 -> kernel32.dll
api-ms-win-core-stringansi-l1-1-0 -> kernelbase.dll
api-ms-win-core-stringloader-l1-1-1 -> kernelbase.dll
api-ms-win-core-synch-ansi-l1-1-0 -> kernel32.dll
api-ms-win-core-synch-l1-1-1 -> kernelbase.dll
api-ms-win-core-synch-l1-2-1 -> kernelbase.dll
api-ms-win-core-sysinfo-l1-1-1 -> kernelbase.dll
api-ms-win-core-sysinfo-l1-2-4 -> kernelbase.dll
api-ms-win-core-sysinfo-l2-1-0 -> advapi32.dll
api-ms-win-core-systemtopology-l1-1-1 -> kernelbase.dll
api-ms-win-core-textinput-client-l1-1-0 -> textinputframework.dll
api-ms-win-core-threadpool-l1-1-0 -> kernelbase.dll
api-ms-win-core-threadpool-l1-2-0 -> kernelbase.dll
api-ms-win-core-threadpool-legacy-l1-1-0 -> kernelbase.dll
api-ms-win-core-threadpool-private-l1-1-0 -> kernelbase.dll
api-ms-win-core-timezone-l1-1-1 -> kernelbase.dll
api-ms-win-core-timezone-private-l1-1-0 -> kernelbase.dll
api-ms-win-core-toolhelp-l1-1-1 -> kernel32.dll
api-ms-win-core-ums-l1-1-0 -> kernel32.dll
api-ms-win-core-url-l1-1-0 -> kernelbase.dll
api-ms-win-core-util-l1-1-1 -> kernel32.dll
api-ms-win-core-util-l1-1-1 -> kernelbase.dll
api-ms-win-core-version-l1-1-1 -> kernelbase.dll
api-ms-win-core-version-private-l1-1-0 -> kernelbase.dll
api-ms-win-core-versionansi-l1-1-1 -> kernelbase.dll
api-ms-win-core-windowsceip-l1-1-0 -> kernelbase.dll
api-ms-win-core-windowserrorreporting-l1-1-2 -> kernelbase.dll
api-ms-win-core-winrt-error-l1-1-1 -> combase.dll
api-ms-win-core-winrt-errorprivate-l1-1-1 -> combase.dll
api-ms-win-core-winrt-l1-1-0 -> combase.dll
api-ms-win-core-winrt-propertysetprivate-l1-1-1 -> wintypes.dll
api-ms-win-core-winrt-registration-l1-1-0 -> combase.dll
api-ms-win-core-winrt-robuffer-l1-1-0 -> wintypes.dll
api-ms-win-core-winrt-roparameterizediid-l1-1-0 -> combase.dll
